Dos. nr.;DossierStatus;Boekingsdatum;Vertrekdatum;Volledige naam klant;Bestemming;ArticlePoNummer;Artikelcode;Omschrijving;Artikelprijs;Totaal dossier
3017;Ok;02.05.2017 14:07:42;15.06.2017 00:00:00;1cdbbcd73af491f0;Spanje Andalusie;;1ca68a17c69932dc;Paardrijweek Andalusie 6 dagen / 5 nachten / 4 dagen paardrijden halfpension eenpersoonskamer;5.160,00;6.164,00
3017;Ok;02.05.2017 14:07:42;15.06.2017 00:00:00;1cdbbcd73af491f0;Spanje Andalusie;;;vlucht Mevr Creemers;236,00;6.164,00
3017;Ok;02.05.2017 14:07:42;15.06.2017 00:00:00;1cdbbcd73af491f0;Spanje Andalusie;;;Vlucht dhr Verheijen;236,00;6.164,00
3017;Ok;02.05.2017 14:07:42;15.06.2017 00:00:00;1cdbbcd73af491f0;Spanje Andalusie;;;Vlucht mevr Togni ;266,00;6.164,00
3017;Ok;02.05.2017 14:07:42;15.06.2017 00:00:00;1cdbbcd73af491f0;Spanje Andalusie;;;Vlucht mevr Kruuk;266,00;6.164,00
3018;Ok;02.05.2017 14:34:00;13.05.2017 00:00:00;26c7e4d7b12af572;Kroatie Dalmatie;;40496391480a96bf;Dalmatie Trektocht;945,00;1.035,00
3018;Ok;02.05.2017 14:34:00;13.05.2017 00:00:00;26c7e4d7b12af572;Kroatie Dalmatie;;7fc65910fec8efa7;Last minute korting;-100,00;1.035,00
3018;Ok;02.05.2017 14:34:00;13.05.2017 00:00:00;26c7e4d7b12af572;Kroatie Dalmatie;;0af36bf89166310d;Verzameltransfer € 50,- p.p. ter plaatse te betalen;0,00;1.035,00
3018;Ok;02.05.2017 14:34:00;13.05.2017 00:00:00;26c7e4d7b12af572;Kroatie Dalmatie;;9dc22f3ff00c0a41;Lijnvlucht Thomas Cook Brussel Split retour incl 1 koffer ruimbagage;165,00;1.035,00
3018;Ok;02.05.2017 14:34:00;13.05.2017 00:00:00;26c7e4d7b12af572;Kroatie Dalmatie;;fb6cff73f197d34e;Reserveringskosten vlucht;25,00;1.035,00
3017;Ok;02.05.2017 14:07:42;15.06.2017 00:00:00;1cdbbcd73af491f0;Spanje Andalusie;;718247bb4a0635d5;Verzameltransfer ter plaatse te betalen;0,00;6.164,00
2774;Ok;17.01.2017 00:00:00;26.04.2017 00:00:00;8653550226fa977a;Paardrijden op het strand in Zeeland;;;annulering dd 24/4 - 90%;327,60;327,60
3019;Ok;03.05.2017 00:00:00;17.09.2017 00:00:00;f36bd924139045ff;Trektocht in de Monts de Blond Frankrijk;;3e9de25c3a6e2814;Trektocht monts de blond;6.420,00;5.875,00
3019;Ok;03.05.2017 00:00:00;17.09.2017 00:00:00;f36bd924139045ff;Trektocht in de Monts de Blond Frankrijk;;3e9de25c3a6e2814;Trektocht monts de blond;-1.070,00;5.875,00
3019;Ok;03.05.2017 00:00:00;17.09.2017 00:00:00;f36bd924139045ff;Trektocht in de Monts de Blond Frankrijk;;3e9de25c3a6e2814;Verzameltransfer ter plaatse betalen;0,00;5.875,00
3019;Ok;03.05.2017 00:00:00;17.09.2017 00:00:00;f36bd924139045ff;Trektocht in de Monts de Blond Frankrijk;;81c3f82913e32ee5;Treinreis retour, voorboeking;1.140,00;5.875,00
3019;Ok;03.05.2017 00:00:00;17.09.2017 00:00:00;f36bd924139045ff;Trektocht in de Monts de Blond Frankrijk;;81c3f82913e32ee5;Treinreis retour, voorboeking;-190,00;5.875,00
3019;Ok;03.05.2017 00:00:00;17.09.2017 00:00:00;f36bd924139045ff;Trektocht in de Monts de Blond Frankrijk;;f89c7447d2045e78;Reserveringskosten treinreis;25,00;5.875,00
3019;Ok;03.05.2017 00:00:00;17.09.2017 00:00:00;f36bd924139045ff;Trektocht in de Monts de Blond Frankrijk;;867c0ea5a9808641;Zitplaats reservering;0,00;5.875,00
3021;Ok;03.05.2017 00:00:00;08.09.2017 00:00:00;e6bb771d7a870479;Western paardrijden in de Ardennen;;a06746cecc89b02b;Paardrijweekend Western Ardennen;550,00;550,00
3023;Ok;04.05.2017 13:47:41;20.08.2017 00:00:00;9f4bae184218fbea;Frankrijk;;62fdd307d11ab2a3;Sterritten voor gevorderden;1.870,00;1.870,00
3020;Ok;03.05.2017 00:00:00;20.10.2017 00:00:00;8b711dcb34331e73;Belgie, ardennen;;a06746cecc89b02b;Paardrijweekend Western Ardennen;550,00;577,75
3020;Ok;03.05.2017 00:00:00;20.10.2017 00:00:00;8b711dcb34331e73;Belgie, ardennen;;1f5324d93d081e6e;Annuleringsverzekering;24,75;577,75
3020;Ok;03.05.2017 00:00:00;20.10.2017 00:00:00;8b711dcb34331e73;Belgie, ardennen;;0a40ba0908143439;Poliskosten;3,00;577,75
3024;Ok;03.05.2017 00:00:00;12.08.2017 00:00:00;9e9365d0c7abfb13;Frankrijk, vogezen;;08ad336773afdc20;Vogezen Week Hele Dagtochten;1.518,00;2.416,00
3024;Ok;03.05.2017 00:00:00;12.08.2017 00:00:00;9e9365d0c7abfb13;Frankrijk, vogezen;;08ad336773afdc20;Vogezen Week Niet-Ruiters;898,00;2.416,00
3022;Ok;03.05.2017 00:00:00;09.07.2017 00:00:00;c7745d2b12d1b338;Belgie;;aea26b5756bd0feb;Combinatieverzekering ;29,70;527,70
3022;Ok;03.05.2017 00:00:00;09.07.2017 00:00:00;c7745d2b12d1b338;Belgie;;0a40ba0908143439;Poliskosten;3,00;527,70
3011;Ok;18.04.2017 00:00:00;26.05.2017 00:00:00;40a25e57c6b93767;Ranchleven in Crook Country Wyoming;;1f5324d93d081e6e;Annuleringsverzekering;129,21;3.003,59
3029;Ok;02.05.2017 00:00:00;28.05.2017 00:00:00;9e7ead38cd148d39;Spanje, andalusie;;00fcc54e3ff386ca;Paardrijden langs de maagdelijke stranden;1.200,00;1.350,00
3029;Ok;02.05.2017 00:00:00;28.05.2017 00:00:00;9e7ead38cd148d39;Spanje, andalusie;;00fcc54e3ff386ca;Eenpersoonskamertoeslag;150,00;1.350,00
3028;Ok;06.05.2017 00:00:00;23.06.2017 00:00:00;d9cb31e522e34995;Pittige Ritten in de Ardennen;;a4cbfe4a4be6c54b;Toeslag eenpersoonskamer p n;70,00;478,48
3028;Ok;06.05.2017 00:00:00;23.06.2017 00:00:00;d9cb31e522e34995;Pittige Ritten in de Ardennen;;1f5324d93d081e6e;Annuleringsverzekering;20,48;478,48
3028;Ok;06.05.2017 00:00:00;23.06.2017 00:00:00;d9cb31e522e34995;Pittige Ritten in de Ardennen;;0a40ba0908143439;Poliskosten;3,00;478,48
3027;Ok;06.05.2017 00:00:00;10.09.2017 00:00:00;02f654dbd1f8e223;Corsica;;b1175b4530164026;Paardrijden op corsica;2.380,00;2.380,00
3031;Ok;07.05.2017 00:00:00;22.07.2017 00:00:00;90ff9433e468e8b8;Frankrijk, dordogne;;2a538ee79938a7dd;Schoonmaakkosten en toer.bel. ter plaatse betalen;0,00;1.758,60
3031;Ok;07.05.2017 00:00:00;22.07.2017 00:00:00;90ff9433e468e8b8;Frankrijk, dordogne;;0a40ba0908143439;Poliskosten;3,00;1.758,60
3026;Ok;05.05.2017 00:00:00;02.06.2017 00:00:00;1ea3490de3a83af6;Frankrijk, Medoc;;36f39292affe0824;Trektocht stranden en wijgaarden;620,00;770,00
3026;Ok;05.05.2017 00:00:00;02.06.2017 00:00:00;1ea3490de3a83af6;Frankrijk, Medoc;;36f39292affe0824;Extra overnachting;150,00;770,00
3031;Ok;07.05.2017 00:00:00;22.07.2017 00:00:00;90ff9433e468e8b8;Frankrijk, dordogne;;1f5324d93d081e6e;Annuleringsverzekering;75,60;1.758,60
3025;Ok;02.05.2017 00:00:00;06.06.2017 00:00:00;167da18fb7c4cec3;Spanje, andalusie;;718247bb4a0635d5;Verzameltransfer ter plaatse te betalen;0,00;1.470,27
